c_custkey,c_name,revenue,c_acctbal,n_name,c_address,c_phone,c_comment
122503,"Customer#000122503",164766.43,9234.03,"SAUDI ARABIA","HlwCRh,st007D","30-337-547-8404","theodolites cajole above the slyly unusual packages. ironic, even packages across the quick"
149198,"Customer#000149198",163088.08,-714.68,"VIETNAM","y9yX7r9MGEowuS F35H  i2 OriolXXDdti87","31-336-725-1897","ounts; quickly final accounts are blithely regular inst"
131384,"Customer#000131384",161201.01,8046.03,"RUSSIA","rOqIWFJQpkaZIHdVcssq03ZMyLQ2tL","32-192-662-8876","ep fluffily bold sheaves. idly even "
138649,"Customer#000138649",160512.09,3579.50,"RUSSIA","m8i6OEGa3Sl68FwdMNPmaQj02","32-792-241-9253","osits affix about the carefully ironic foxes! depths snooze blithely. qu"
121702,"Customer#000121702",159975.16,6689.75,"UNITED KINGDOM","ixYMx,,Ii7L1VI4DFvxONkN2xZmJ","33-911-651-2552","olphins. carefully final deposits up the fluffily ironic pinto beans boost blithely across t"
148786,"Customer#000148786",157713.32,4629.18,"RUSSIA","6dnoiM1HQW","32-143-634-5133","pinto beans haggle blithely above the furiously bold dolphins. fluffily even sheaves nag escapades. slyly eve"
143455,"Customer#000143455",156806.67,1673.82,"RUSSIA","xyoA148ef0DfA6tN9E","32-703-316-4054","al pinto beans. express pinto beans are ruthlessly blithely even packages. furiously silent foxes boost eve"
130825,"Customer#000130825",154801.80,4126.15,"UNITED KINGDOM","3KUm6A6LjDEFcYq,Dg9YzNVLaPkH","33-491-506-9168","e special, express accounts cajole stealthily about the furiously express attainments. fu"
138913,"Customer#000138913",154433.07,152.54,"SAUDI ARABIA","OThcDX nILUAyaq8eb26FsBgAs","30-405-491-2135","gular requests about the accounts ought to boost blithely slyly even packages. slyly even packa"
137449,"Customer#000137449",150920.44,339.34,"UNITED STATES","SBo,tsH1nL,cXYJaeOccxR6vQzZl0","34-292-764-8705","ays-- never unusual instructions boost carefully packages. ev"
135205,"Customer#000135205",149906.00,495.97,"SAUDI ARABIA","isf,RcA9Lpzw1 OxF78UJJGk3gNQ","30-219-106-8707","aggle furiously about the carefully regular packages. blithe foxes haggle fluffily. dependencies cajole slyly. furio"
143777,"Customer#000143777",148870.71,5508.38,"UNITED KINGDOM","DoMVOjkSZeJxKLuzKXgidKB,w1XNlvk GOki ","33-785-765-5278"," instructions. carefully ironic requests must sleep according to the eve"
142517,"Customer#000142517",148142.69,3880.23,"VIETNAM","LDJa4dnbttLcSipR1Pt","31-300-566-4319","y bold asymptotes. unusual, i"
124448,"Customer#000124448",148019.38,-886.72,"RUSSIA","fwFWUIRRmznAkv757tmN3mIRBgVSYDddvAgm","32-976-995-8861","old about the accounts. fluffily ironic requests nag abou"
134683,"Customer#000134683",147932.99,4088.86,"SAUDI ARABIA","V7RvHmDlZunyiy4J8UM8LRujBf,Tb6y","30-917-900-8822","iously enticing deposits. furiously even d"
149804,"Customer#000149804",147738.44,-704.96,"UNITED KINGDOM","MnvjcwnmjiLRO","33-842-114-7852","ly express pinto beans. regular accounts wake. carefully final depths affix furiously. ca"
138208,"Customer#000138208",146027.48,5420.54,"UNITED KINGDOM","rqhm1C IR,uYDUTJ2","33-885-863-2522","ts haggle carefully furiously special foxes. ironic patterns cajole blithely"
139957,"Customer#000139957",145165.99,1113.62,"RUSSIA","5avutWsc8M9DXYuJfgXtaO","32-558-567-3951","uctions. ironic, pending packages according to the slow accounts haggle quickly final accounts. express foxes sleep"
147751,"Customer#000147751",144845.49,2817.38,"SAUDI ARABIA","wU2,hOw6i3xPcH6zgMq1EjHYsPDmZcI3PFa1MR","30-199-686-6701","s are blithely across the furiously idle warthogs. blithely regular waters are alo"
137563,"Customer#000137563",141555.41,1689.58,"VIETNAM","Iql1WVhlvrtbgd1zDGj,CVyC9dDb2LT9DW","31-226-128-9825","aggle boldly ironic requests. carefully regular instructions detect. pending, final ideas affix b"
139861,"Customer#000139861",140557.10,8687.05,"UNITED STATES","w CXqv3xW napA9oJINVYlI5sdUs6v8Z","34-733-451-1283","accounts cajole accounts-- blithely final theodolites cajole quickly above the bl"
145102,"Customer#000145102",140491.10,9733.77,"VIETNAM","Xgw6oJFZ2k T0nqrA2Eh3OIALWQQt0kjvBsht5","31-241-522-2390","ly pending accounts cajole af"
124348,"Customer#000124348",139880.16,4519.24,"VIETNAM","QGILtLxdIzdapWQh","31-444-568-4728","g blithely pending excuses. even requests run"
142112,"Customer#000142112",139519.96,9260.13,"SAUDI ARABIA","VdxMpWG9ar","30-387-134-9600","lyly. slyly special instructions according to the fluffily special instructions haggle slowly "
124282,"Customer#000124282",139516.24,6914.69,"VIETNAM","X5ZHtV56BcAlQ9DDR","31-309-289-1931","even deposits integrate furiously. final ideas af"
133244,"Customer#000133244",138845.57,2087.42,"UNITED STATES","ZoFhr9O,iWy","34-600-498-4543","d, fluffy instructions. final dependencie"
130675,"Customer#000130675",135756.71,1548.45,"UNITED STATES","aOn572fSHj2T8tF2EM5","34-209-672-9330"," instructions according to the bold, express theodolites sleep quickly final theodolites. re"
140812,"Customer#000140812",135310.87,7483.03,"RUSSIA","7HNQdnWriErB0 DocEp8 0Kg6vSVDk","32-802-940-9370","an sleep accounts. final ideas cajole carefully. even, enticing packages affix slowly regul"
129230,"Customer#000129230",134620.23,1902.93,"UNITED STATES","SNRsDVlzUM8","34-833-731-2248","riously final requests. accounts solve furiously acros"
122230,"Customer#000122230",134440.77,2093.42,"UNITED KINGDOM","bIAq3qCSzWLjdy8aIU","33-519-561-9923","mptotes are during the carefully special deposits. furiously bol"
146555,"Customer#000146555",134263.99,9438.93,"UNITED STATES","TannxiUC5ZLuMKRZT,FWCl7LoYwTm3tOhjJ","34-244-393-5035","ouches over the theodolites lose blithely along the slyly quick dependencies. unusual req"
124106,"Customer#000124106",133028.37,-21.62,"UNITED STATES","ihPTeVAyBFtRf6KIjyHh","34-532-881-7461","h furiously. silent accounts haggle furiously after the slyly express p"
123188,"Customer#000123188",131387.58,1014.46,"UNITED STATES","jlV60wIH0nqqvtTpif 8dJyF","34-749-744-2820","ely even theodolites. furiously final deposits haggle ironic packages. quick"
149317,"Customer#000149317",130016.54,1915.75,"UNITED STATES","hYdW4b2ier","34-553-129-8747","iously bold theodolites nag idly waters? carefully regular requests across the even pinto beans detect carefully f"
122884,"Customer#000122884",128292.19,4672.12,"VIETNAM","Tehs4EmlMrnrEuTiydhT7lAUKf","31-118-770-3466","xpress accounts was slyly carefully pending pi"
143147,"Customer#000143147",128072.99,6791.56,"UNITED STATES","vD8CvtyZbu0A6krKntbXPK3eAt6Z","34-614-805-1313","tes cajole carefully bold dependencies. final ideas"
149962,"Customer#000149962",127508.40,9694.17,"UNITED KINGDOM","bD6DGVRu LHp zX","33-453-328-5733","al pinto beans sleep furiously. slyly regular courts play fluffily. daringly blithe as"
126400,"Customer#000126400",125049.53,6694.39,"RUSSIA","jEYRBI5ARGO,U5acTs1lRWz6L0ZQ6bc2E6NwYV1","32-338-393-3161"," the slyly final requests. slyly special packages detect. ironic accounts above the acco"
126131,"Customer#000126131",125017.10,5702.96,"VIETNAM","hIHOADlyxGohs0PJp","31-602-825-1472","ar, special foxes sleep quickly ironic requests. bold, regular dependencies unwind fluffily carefully regular"
128060,"Customer#000128060",124136.34,9158.07,"VIETNAM","T2lPMKvz2A2QvS1Lwt7li52nqtEQzmnBlttSn9j3","31-557-414-4089","y final ideas. carefully special platelets cajole quickly against the ironic multipliers! f"
134483,"Customer#000134483",123821.54,6030.65,"VIETNAM","4QpNah0XsV, Eh5WzIYtQhM7UUzZtC7o","31-287-261-5423","ep carefully to the furiously ironic packages. permanently final foxes affix blithely silent, r"
138409,"Customer#000138409",122166.58,6544.78,"RUSSIA","WQUIhIRWLIJVn","32-567-225-7495","about the carefully unusual accounts. bold, final packages wak"
145547,"Customer#000145547",119942.32,6107.82,"UNITED KINGDOM","JHsHyC w 6Y7H","33-635-243-2290","ven ideas haggle around the instructions. slyly regular foxes s"
141161,"Customer#000141161",119723.96,4676.52,"UNITED STATES","Xu5GpXfZH1","34-800-282-5776","across the quickly unusual accounts. platelets among the blit"
148549,"Customer#000148549",117590.38,5061.40,"UNITED STATES","9HxfRbocoCUVsq2pgGwLaNq,kS7DiqaKBBhVbD","34-680-126-8364","cial accounts sleep slyly express foxes-- special dependencies nod quickly instructio"
120812,"Customer#000120812",117294.74,4582.11,"UNITED STATES","tp0xrx0pKTebmgAGirKC9A1Dnn8YRf","34-219-480-1565","sy tithes sleep slowly above the even, even accounts. special ideas boost"
120556,"Customer#000120556",116648.72,-197.75,"UNITED KINGDOM","fR8Elg6piBIrQXCNhWO","33-270-650-6275","furiously express packages about the regular instructions use slyly blithely f"
128077,"Customer#000128077",115471.63,9157.90,"UNITED KINGDOM","5mslLWqE6fmkpCqqdFEvv AbQpKdSQsUnU","33-182-681-6993","sual, final packages. furiously unusual excuses are along the carefully c"
131953,"Customer#000131953",115217.86,2953.59,"UNITED KINGDOM","GzyoZUI5ruSelVrb0J","33-426-428-7053","al theodolites sleep carefully. regularly b"
131116,"Customer#000131116",115085.74,496.22,"RUSSIA","Tpp3Y6Wp47 HEOl5","32-170-140-4849","affix slyly ruthlessly quiet foxes: pending foxes haggle furiously carefully final instructions. theodoli"
141959,"Customer#000141959",114528.49,9392.88,"VIETNAM","PBZGv6s,5mHlEm,chX1k7c4V9j","31-134-847-5452","nd. pending instructions use. even, final excu"
148843,"Customer#000148843",114443.92,6520.83,"RUSSIA","67plLyolQ1T5p2tq","32-703-787-8691","out the slyly regular decoys boost across the carefully iro"
133903,"Customer#000133903",114399.51,9591.44,"UNITED KINGDOM","gHVMSB9TGl30","33-610-852-7400",". ironic instructions integrate furiously blithely even courts. unusual deposits after the carefu"
146908,"Customer#000146908",113099.69,2066.25,"UNITED KINGDOM","e 6NmG0eq,HnglZpwXY,b5us bj","33-650-543-3477","accounts wake carefully ironic pinto beans. furiously u"
148754,"Customer#000148754",112960.89,5049.72,"SAUDI ARABIA","s0ZkReA CXBTESW","30-315-197-3114","according to the unusual accounts sleep about the ironic accounts. quickly unusual asymptotes among the blithely"
132205,"Customer#000132205",112733.16,7764.91,"RUSSIA","OpKFsjks6sDXiRvrFIEGqGsmntA958YK8o","32-378-172-5488","es along the regular platelets affix regular packages. furiously ironic requests haggle furiously even inst"
140701,"Customer#000140701",111984.84,9242.75,"UNITED KINGDOM","vqsh1d2IXb9UrmNcbTRxbWZpibDzrAUB7ECMgQ","33-324-858-6614","instructions wake along the car"
131704,"Customer#000131704",111372.05,3613.08,"VIETNAM",",OyMKO0,HWh8FnyAGvTNmzF7","31-848-142-9860"," packages sleep quickly around th"
135934,"Customer#000135934",111195.20,8866.30,"SAUDI ARABIA","g7bT5d0pJyTp3D414XlNj30","30-195-941-3161","deas: carefully ironic packages are carefully against the"
133504,"Customer#000133504",110707.24,1688.56,"VIETNAM","STIWEY2Hf18tSSZhq,31fA","31-908-819-8094","ng attainments; slyly pending requests are. carefully even t"
145594,"Customer#000145594",110511.01,4686.97,"RUSSIA","q066r9wjjt0hqBTx4 WJ6jtYrJ20pDBd9qYRLgE","32-532-568-5145","ending requests cajole fluffily even, final requests. slyly bold deposits breach about the carefully regul"
138946,"Customer#000138946",110388.78,226.42,"UNITED STATES","XtsknOwR,UM u4K","34-982-709-2975","instructions boost fluffily. fluffily bold instructions use carefully. express packa"
134356,"Customer#000134356",110292.91,1652.90,"VIETNAM","Pfg5ChFAIk YXXf4j7Ifns","31-235-496-6974","ickly ironic excuses cajole blithely according to t"
143068,"Customer#000143068",110176.17,2669.16,"UNITED STATES","Y4ZeGA46gDyspFqPkg0P5b","34-380-458-4886","y regular deposits haggle enticingly about the quietly pending foxes. "
121616,"Customer#000121616",109254.12,4801.27,"VIETNAM","17T2N,VUshUmKJY5e mYD","31-278-762-5756","the blithely regular ideas integ"
123941,"Customer#000123941",109205.66,5302.05,"UNITED KINGDOM","E7YxWQmxUhrmJBolTZlxVjUOjH9pfx","33-537-437-5004","elets wake blithely among the furiously regular ideas: fluffily special pearls solve. regular package"
148364,"Customer#000148364",107752.16,4931.68,"UNITED KINGDOM","sH8,sfAc48pj446ojZ5mFIgHVqy3pYchZ","33-749-831-5674","nto beans use bravely across the pending, regular instructions. regular accounts after the furiously express "
142856,"Customer#000142856",105822.91,3026.68,"RUSSIA","rCD38oI4vNVtCdZozsSE","32-975-994-5581"," detect slyly above the pending foxes. quickly regular deposits alongside o"
149077,"Customer#000149077",105617.34,1104.00,"UNITED STATES","rIg0n3R4 5YlbP4","34-785-643-1158","n foxes sleep blithely carefully regular accounts. carefully brave theodolites use f"
129622,"Customer#000129622",104410.81,2678.24,"UNITED KINGDOM","4974lnxrKF7Li dwjkTQsw","33-323-993-1147"," blithely regular requests. deposits snooze slyly quickly ironic pinto beans. forges nag slyly final a"
125986,"Customer#000125986",104291.42,5369.24,"SAUDI ARABIA","eKHRTTRzu GOuqly6ggts3yPmApOqYhZ1L9","30-154-189-1611","ecial requests should have to are foxes. quickly regular deposits cajole blithely according to the s"
132361,"Customer#000132361",104111.80,4464.49,"SAUDI ARABIA","DxAglHSvJROLoOH","30-582-165-9685","accounts wake quickly. blithely ex"
148831,"Customer#000148831",102558.85,6209.16,"RUSSIA","mhl7 VGVy1V8","32-737-770-3752","iously pending pinto beans haggle. bold ideas affix carefully. boldly pending accounts doubt carefully "
135829,"Customer#000135829",102461.01,5581.05,"UNITED KINGDOM","WmnTDeI1ZEma9Nv1iT3Egi0MUFnR1P3ZYHhzzI","33-480-455-8621","y according to the carefully regular requests. quietly special packages across the quickly final "
132860,"Customer#000132860",102145.77,4662.09,"UNITED KINGDOM","nSgf8D6Tlw8Jg0hum,Brliy6sRWSlTdi4kTS0","33-231-116-6229","p blithely furiously pending "
145076,"Customer#000145076",101651.69,2070.04,"SAUDI ARABIA","Y0Z6MDPG7tQH75dyB9EWvu","30-741-862-8304","the furiously final packages boost furiously about the quickly special deposits. re"
147400,"Customer#000147400",100711.95,9530.23,"UNITED STATES","qiGzxpGIXvvLs,0DrZom1g","34-160-213-7966","e furiously; blithely bold theodolites use furiousl"
129343,"Customer#000129343",100451.91,2235.87,"UNITED STATES","de2aX3LvdK6Z,c1xl7OXz6zbjoQaKY,H66JG","34-945-796-4715","arefully final accounts cajole slyly. carefully even accounts dazzle even accounts. furio"
122845,"Customer#000122845",100385.92,5923.34,"RUSSIA","wwoMKVeXqhN1I,Ua","32-124-701-2040","nto beans above the even, regular realms affix across the fluffily even accounts. ca"
133243,"Customer#000133243",100096.47,9850.30,"UNITED KINGDOM","VPBZYdCf642cZI3zA7BtL","33-645-776-8510","ly final, final deposits. regular, ironic pinto b"
131422,"Customer#000131422",99218.37,5372.46,"RUSSIA","S tbJZ2V34xEt0u5gZEbnyHqWkUL","32-239-279-7059","ackages. carefully careful deposits against the deposits cajole "
144409,"Customer#000144409",99168.69,9535.49,"RUSSIA","6liZhfXv,WDW0twn1Cvzf1j02Ya","32-367-117-9658","usly ironic deposits integrate slyly about the theodolites. bravely even foxes are. slyly i"
142291,"Customer#000142291",98958.40,8619.29,"UNITED KINGDOM","lkqZHMKfMU5w8uOmCvaJQtkP5DexFJP67XvW,c","33-412-719-4265","oldly along the ironic deposits. furiously final warthogs wake slyly. final pinto beans sleep across the sly"
127601,"Customer#000127601",97688.93,-795.86,"RUSSIA","83G5co,,GAF1rM5Q1cLQiLOB1Z","32-809-503-6473","kages haggle. furiously final pearls us"
122470,"Customer#000122470",95513.65,6674.76,"UNITED KINGDOM","ej2 9Sh3omQE356bzp2qxcw3Hd","33-930-111-6784","ounts: furiously regular packages nag carefully. blithely express pinto beans cajol"
139162,"Customer#000139162",95424.16,1578.84,"UNITED KINGDOM","SMnA9TN 7QPUGfoQMni,ygsyM4OTFbNLAEGrIFW","33-718-775-7064","nic accounts according to the carefully unusual packages haggle against the special asymptotes. furiously expre"
141043,"Customer#000141043",95400.24,1844.44,"UNITED STATES","q30qU1gX3rQFg3DbjueL3aVRD3","34-540-848-7739","y ironic deposits detect. special, ironi"
124004,"Customer#000124004",95343.69,6828.96,"RUSSIA"," YOyrRFDWitJ9QFXi3dHYxxsn,6qE3hbs","32-398-738-6296","ully around the ironic foxes. ca"
131318,"Customer#000131318",95317.67,825.77,"SAUDI ARABIA","RclEgMnuZlmGKp9qJtS7oS1","30-127-619-5160","es. regular, ironic accounts wake slyly with the bl"
137731,"Customer#000137731",95225.13,8939.86,"SAUDI ARABIA","l9QRhQ7xZl6pdHkwqQLAGj1rW","30-956-795-6753","sits breach quickly express courts. carefully"
141337,"Customer#000141337",95126.07,732.59,"UNITED KINGDOM","zxNKbQ,3YNfpH 15Nk6befCWEYPaYA","33-497-137-9187","ent instructions. ruthlessly regular packages sleep blithely. b"
121940,"Customer#000121940",94975.95,8597.24,"UNITED STATES","2ckEl27wPkl2jsCrB7bT6ETTKC5Ky3K8DWmpqcE","34-782-510-9413","pendencies; ideas are furiously final accounts. quickly pending dolphins boos"
147220,"Customer#000147220",94112.04,661.93,"UNITED KINGDOM","f9cPsZUbxdWtwY","33-574-162-1464",". quickly special ideas haggle "
145294,"Customer#000145294",93900.50,4206.84,"UNITED STATES","iJXQSX rtTOQZPT4ivyxYp,4DOIQBRxl","34-128-922-5825"," pending, unusual foxes are carefully express deposits. carefull"
140837,"Customer#000140837",93377.42,4896.99,"UNITED STATES","AFu57vyWSKxmqP8B,aPWAb2O1XxH11","34-284-659-5478","uickly special foxes. bold foxes alongside of"
129793,"Customer#000129793",93236.47,9166.82,"RUSSIA","kxHmPjOv5P9Fnyf4ZUNaivnlZ HnbtdnP","32-940-779-5752"," foxes above the carefully ev"
141671,"Customer#000141671",93104.23,7694.38,"VIETNAM","JLa9Inp,D2QAowqoPPpJyBAY","31-857-630-4497","unts use furiously furiously silent foxes. blithe"
130504,"Customer#000130504",92103.10,2983.10,"SAUDI ARABIA","QdX3o44gVNioogvOrfN6","30-458-433-7566","ven packages. even deposits haggle carefully slyly ironic dugouts. ironic packages believe blithely after the furi"
127579,"Customer#000127579",91609.67,3711.68,"UNITED STATES","Hwkezv4hH5ZIHRGa8ppEr8FlbrZ7G 6EmWTR","34-864-907-5792","ids according to the regular accounts cajole quickly above th"
139865,"Customer#000139865",90893.43,9739.91,"RUSSIA","zusO z1pW1HbxDj","32-840-585-9082","hely ironic packages use quickly. f"
142424,"Customer#000142424",90628.33,8953.50,"VIETNAM","vmTaZRvmkrmf1wYil AzH","31-906-857-5526"," detect. blithely close instructions must have to cajole."
128966,"Customer#000128966",90221.02,7575.78,"VIETNAM","Bl,7xPJZ9UF","31-628-194-6858","fluffily even pinto beans might haggle furiously a"
128254,"Customer#000128254",90000.78,9437.97,"UNITED STATES","r5M2En66Dl6GJpkVnOKL4xasp2fIdOHT3ykE","34-135-821-2907","ffily. regular deposits sleep fluffily slyly"
148525,"Customer#000148525",89917.95,6785.65,"VIETNAM","t5OJpSLpEgoqHHDxx,2Ms2VS8ZlkFhJIj40T79l","31-308-468-1687","ymptotes nag quickly. furiously unusual pinto beans haggle. ironic packages haggle furiou"
127841,"Customer#000127841",89300.35,4857.84,"UNITED KINGDOM","uJOLhrEJvDf1,i khsz","33-790-711-6032","s use furiously above the carefully express excuses."
126250,"Customer#000126250",88845.59,2258.65,"UNITED STATES","FVGyqtrQVauHT wPU  RmO9n,7lafps","34-453-907-9517","al requests wake slyly according to the accounts. blith"
148261,"Customer#000148261",88540.74,151.71,"RUSSIA","6Wf8gt2BdBulb0XNILwia85ppBCt","32-671-549-8942","ctions. regularly regular instructions wake blithely b"
128701,"Customer#000128701",88391.25,-303.74,"SAUDI ARABIA","8Em,hvl8jkfB0NGG3TVpN,8nPj8zWDY2l6JaUS","30-262-494-3667","s, special ideas. regular dependencies breach blithely blithely final ideas. packages affix. furiously final "
137255,"Customer#000137255",87644.44,-944.74,"UNITED STATES","gwODw76nIWbc3c5L","34-957-563-5163","ts. even accounts haggle slyly silent requests. blithely regular packages among the regular"
